,0,1
0,For the treatment of heparin-induced thrombocytopenia,B
1,For treatment of EGFR-expressing metastatic colorectal cancer in patients who are refractory to other irinotecan-based chemotherapy regimens. Cetuximab is also indicated for treatment of squamous cell carcinoma of the head and neck in conjucntion with radiation therapy.,L
2,Used as adjunct therapy in the treatment of cystic fibrosis. ,R
3,For treatment of cutaneous T-cell lymphoma,L
4,"For treatment of severe active rheumatoid arthritis in adults, severe juvenile idiopathic arthritis, ankylosing spondylitis, and severe plaque psoriasis.",L
5,"For treatment of heparin-induced thrombocytopenia and for the
prevention of thrombosis. Bivalirudin is indicated for use in
patients undergoing percutaneous coronary intervention (PCI), in
patients at moderate to high risk acute coronary syndromes due to
unstable angina or non-ST segment elevation in whom a PCI is planned.",B
6,"For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty",L
7,"For treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.",L
8,"For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli",B
9,"For the treatment of dwarfism, prevention of HIV-induced weight loss",H
10,For treatment of venereal or genital warts caused by the Human Papiloma Virus,L
11,For the treatment of anemia (from renal transplants or certain HIV treatment),B
12,"Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots.",B
13,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction",B
14,For treatment of anemia (from renal transplants or certain HIV treatment),B
15,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  ",H
16,"Increases leukocyte production, for treatment in non-myeloid cancer, neutropenia and bone marrow transplant",L
17,For the treatment of cancer and bone marrow transplant,L
18,For diagnosis of pancreatic exocrine dysfunction and gastrinoma,V
19,For the treatment of chronic hepatitis C in patients not previously treated with interferon alpha who have compensated liver disease and are at least 18 years of age.,L
20,For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma,L
21,For detection of residueal or recurrent thyroid cancer,V
22,"For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency.",B
23,For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID). ,L
24,"For treatment of skin lesions, surface wounds and eye infections",R
25,"IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barre syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott?Aldrich syndrome and inflammatory skin diseases.",J
